index,scientific-name,other-name,cap-shape,cap-color,cap-surface,gill-spacing,gill-color,poison-check,population
0,Cortinarius bolaris,,b,c,y,w,o,p,y
1,Grifola frondosa,hen of the woods,f,n,s,o,a,e,c
2,Amanita phalloides,death cap,c,y,s,c,r,p,s
3,Pholiotina rugosa,,b,n,s,c,w,p,y
4,Boletus edulis,penny bun,b,n,s,o,a,e,v
5,Trametes versicolor,turkey tail,f,n,f,o,a,e,a
6,Amanita muscaria,fly amanita,b,e,y,c,w,p,s
7,Polyporus squamosus,dryad's saddle,s,y,f,o,a,e,s
8,Apioperdon pyriforme,pear-shaped puffball,b,c,g,o,a,e,v
9,Scleroderma citrinum,common earthball,b,y,g,o,a,p,v
10,Trichaptum biforme,violet-toothed polypore,s,u,f,o,a,e,a
11,Chlorophyllum molybdites,false parasol,b,w,y,w,r,p,c
12,Armillaria mellea,honey fungus,s,y,f,c,w,e,c
13,Agaricus bisporus,cultivated mushroom,f,w,f,c,n,e,s
14,Hypholoma fasciculare,sulphur tuft,c,n,f,w,y,p,c
15,Schizophyllum commune,splitgill mushroom,f,n,f,d,y,e,n
16,Stereum ostrea,false turkey-tail,f,n,f,c,w,p,a
17,Phaeolus schweinitzii,dyer's polypore,f,y,s,o,a,p,c
18,Pluteus cervinus,deer mushroom,b,n,f,c,p,e,y
19,Cantharellus cinnabarinus,red chanterelle,s,e,g,o,a,e,y
